company,country,region,industry,ownership,year,score,percent_score,strategic_action,gender_targets,gender_due_diligence,grievance_mechanisms,stakeholder_engagement,corrective_action,gender_leadership,development_recruitment,employee_data_by_sex,supply_chain_gender_leadership,enabling_environment_union_rights,gender_procurement,gender_pay_gap,carer_leave_paid,childcare_support,flex_work,living_wage_supply_chain,health_safety,health_safety_supply_chain,violence_prevention,violence_remediation
ASICS,Japan,East Asia & Pacific,Apparel & Footwear,Public,2023,11.5,22,0,0,0,1.0,0,0.0,0,1,0,0,0,0,0,0.0,1,1,2,1.0,1,1.0,0.0
ASML,Netherlands,Europe & Central Asia,Electronics,Public,2023,16.0,31,1,1,0,1.0,0,0.0,1,0,2,0,0,0,2,0.0,0,1,0,1.5,2,1.0,0.0
Aspen Pharmacare,South Africa,Sub-Saharan Africa,Pharmaceuticals & Biotechnology,Public,2023,6.3,12,1,0,0,2.0,0,0.0,0,1,0,0,0,0,0,0.0,0,1,0,0.0,1,0.5,0.0
Generali,Italy,Europe & Central Asia,Insurance,Public,2024,16.0,31,0,1,0,2.0,0,0.0,1,2,1,0,0,0,0,0.0,2,2,0,1.5,1,1.0,0.0
Associated British Foods,United Kingdom,Europe & Central Asia,Apparel & Footwear,Public,2023,9.8,19,0,1,1,1.0,0,0.5,0,1,0,0,0,0,0,0.0,0,0,0,1.5,1,0.0,0.0
Astellas Pharma,Japan,East Asia & Pacific,Pharmaceuticals & Biotechnology,Public,2023,13.8,26,0,0,0,0.0,0,1.0,1,1,0,0,0,1,0,0.0,2,2,0,1.0,2,1.0,0.0
AstraZeneca,United Kingdom,Europe & Central Asia,Pharmaceuticals & Biotechnology,Public,2023,11.6,22,1,0,0,2.0,0,0.0,3,0,0,0,0,1,0,0.0,0,0,0,1.0,1,1.0,0.0
Asus,"Taiwan, China",East Asia & Pacific,Electronics,Public,2023,10.4,20,0,0,0,0.0,0,1.0,0,0,1,0,0,0,0,0.0,1,1,0,1.5,1,0.5,0.0
AT&T,United States,North America,Telecommunications,Public,2023,16.0,31,1,0,0,0.0,0,1.0,0,0,0,0,0,2,0,0.0,1,2,0,1.5,2,1.0,0.0
Attijariwafa Bank,Morocco,Middle East & North Africa,Banks,Public,2024,2.5,5,0,0,0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,0.0,0.0
KDDI,Japan,East Asia & Pacific,Telecommunications,Public,2023,14.7,28,1,1,0,1.0,0,0.0,0,1,1,0,0,0,0,1.0,2,2,0,0.5,2,1.0,0.0
Auchan,France,Europe & Central Asia,Food Retailers,Private,2023,6.2,12,0,0,0,2.0,0,0.0,1,0,1,0,0,0,0,0.0,1,0,0,0.0,0,1.0,0.0
Aurobindo Pharma,India,South Asia,Pharmaceuticals & Biotechnology,Public,2023,2.9,6,0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0.0,0,0,0,0.5,0,0.0,0.0
Aurora Alimentos,Brazil,Latin America & Caribbean,Food Production,Private,2023,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
